Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,36,394.4708,360,429.025,-7.86,16.36,52.68,2.93,101.05
2,63,570.5104,532,610,-5.63,20.53,40.25,5.35,119.05
3,277,639.3542,600,679,-0.47,26.54,62.11,11.24,159.99
4,807,651.0414,612.975,693,4.2,31.35,71.67,16.77,194.1
5,1202,648.5702,609,687,10.99,33.9,118.07,21.64,182.24
6,1204,645.1758,607.975,683,16.2,36.14,198.97,25.52,172.01
7,1126,645.4902,608,685,20.55,37.87,209.98,27.91,191.23
8,967,648.908,611,687,19.06,37.17,154.02,27.89,206.85
9,713,651.8652,612,692,14,33.54,77.69,23.18,167.26
10,435,639.781,600,680,5.25,29.26,89.53,16.74,134.9
11,195,570.729,530,611,-1.74,25.21,59.89,10.78,128.7
12,76,395.1038,361.975,430,-6.04,17.52,33.5,4.8,127.11
