Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,180,639.705,598,683,4.46,25.28,63.83,13.09,119.11
2,248,885.742,838,935,4.83,26.79,51.74,12.99,100.95
3,559,1010.4956,963,1060,7.61,28.56,138.79,15.54,107.42
4,1188,1072.8784,1026,1120,11.23,32.26,120.93,20.18,137.09
5,1561,1094.3208,1051,1142,16.13,34.17,152.28,23.97,128.15
6,1628,1105.571,1063,1149,20.73,36.28,207.92,27.1,157.28
7,1543,1105.7018,1062,1150,23.72,37.48,122.77,29.08,222.73
8,1479,1094.27,1049,1141,23.03,37.18,220.17,28.74,194.23
9,1266,1072.8766,1027,1119,21.08,35.63,163.53,26.98,169.72
10,1027,1010.493,961,1059,16.21,33.37,45.29,23.57,153.63
11,629,886.0494,839,934,12.18,30.06,49.97,19.91,121.33
12,310,639.8964,598,682,6.34,25.64,53.03,15.23,110.86
