Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,30,714.755,666,762.025,-16.58,9.64,3.11,-4.92,172.85
2,53,1049.7528,997,1104,-14.18,15.3,5.14,-1.47,184.66
3,223,1152.4274,1098,1209,-7.71,21.64,12.91,5.24,208.09
4,865,1138.0222,1084,1193.025,-2.13,27.38,31.08,11.13,221.31
5,1822,1106.709,1052,1160,2.11,29.44,52.96,14.86,234.2
6,2451,1091.0482,1038,1144,7.98,30.55,66.68,19.02,202.19
7,2716,1091.281,1039,1144,11.31,33.44,76.45,21.31,235.52
8,2258,1106.9106,1053,1162,10.24,32.49,91.42,20.28,208.99
9,1347,1138.1018,1085,1194,5.58,27.58,53.63,15.27,162.27
10,543,1151.2544,1096,1206,-2.54,23.33,32.93,8.66,165.01
11,151,1048.2816,994,1103,-9.24,17.53,7.62,2.56,168.53
12,43,713.456,667,762,-14.69,10.41,2.15,-3.79,180.25
