Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,374,968.584,919,1020,5.01,26.29,86.94,14.6,129.38
2,482,1332.6906,1274,1391,5.99,27.46,51.63,15.5,100.42
3,1000,1513.7704,1457,1574,10.04,28.47,132.76,18.47,81.46
4,1883,1568.873,1511.975,1627,13.11,31.28,174.64,22.2,108.86
5,2379,1598.9802,1544,1654,19.24,33.89,337.87,26.01,134.61
6,2367,1609.589,1557,1663,22.95,35.24,332.02,28.38,171.81
7,2157,1609.6672,1554,1665,24.02,37.01,236.2,29.01,201.13
8,2039,1598.9228,1544,1655,23.49,36.62,306.82,28.58,182.64
9,1706,1568.5544,1511.975,1625,21.63,35.73,158.09,27.63,182.28
10,1348,1512.8092,1456,1574,16.64,33.3,82.97,24.44,177.2
11,893,1331.6022,1274.975,1389,11.79,30.48,49.65,20.7,149.25
12,554,967.957,916,1020,6.18,26.93,36.36,15.95,134.29
