Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,476,1191.5444,1134.975,1251,5.01,26.29,86.94,14.6,130.31
2,589,1662.122,1596,1730,5.99,27.46,51.63,15.5,100.42
3,1135,1860.0142,1793,1928,10.04,28.47,132.76,18.47,81.46
4,2402,1907.0428,1840,1974,13.11,31.28,174.64,22.2,108.86
5,3136,1928.9304,1863,1994,19.24,33.89,337.87,26.01,134.61
6,2980,1940.1856,1878,2003,22.95,35.24,332.02,28.38,171.81
7,2659,1940.0198,1877,2003,24.02,37.01,236.2,29.01,201.13
8,2404,1929.0274,1864,1994,23.49,36.62,306.82,28.58,182.64
9,1972,1906.3604,1841,1973,21.63,35.73,158.09,27.63,182.28
10,1561,1859.806,1792,1930,16.64,33.3,82.97,24.44,177.2
11,1018,1663.3482,1595,1732,11.79,30.48,49.65,20.7,149.25
12,649,1192.5988,1133,1252.025,6.18,26.93,36.36,15.95,134.29
