Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,289,1024.1014,968,1080,-2.35,20.16,33.55,5.7,54.44
2,374,1452.9676,1392,1516,-0.94,24.97,14.83,7.45,76.67
3,831,1625.3018,1561,1687.025,3.21,27.76,45.47,11.97,96.31
4,2018,1653.2508,1591,1716,6.93,30.7,78.52,16.3,130.11
5,2820,1661.7908,1599,1724,11.6,30.79,147.73,19.22,127.05
6,2819,1666.9046,1606,1728,14.36,30.86,245.77,21.46,97.31
7,2562,1666.4084,1607,1727,16.68,31.67,171.79,22.82,150.78
8,2304,1661.4226,1600,1725,15.81,31.74,151.85,22.44,162.04
9,1782,1653.4906,1590,1717,13.38,30.02,145.12,19.69,87.71
10,1255,1625.851,1561,1689,6.85,27.08,87.08,15.49,82.75
11,734,1453.0464,1389,1516,3.17,24.49,22.85,11.62,98.16
12,381,1024.464,968,1079,-1.02,20.56,21.47,6.26,58.34
