Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,323,589.5872,550,629,10.47,27.51,42.21,19.33,133.21
2,407,791.1758,746,835,12.24,30.4,17.94,20.17,130.11
3,683,906.2036,862,952,16.9,32.51,33.31,23.64,171.09
4,1116,951.879,908,996,18.73,34.93,84.88,26.05,199.37
5,1282,970.9194,929,1015,23.45,35.9,165.83,28.86,247.91
6,1278,993.4362,953,1034,24.61,36.32,175.1,29.87,248.96
7,1212,993.7944,953,1036,24.21,36.06,224.57,29.18,227.89
8,1156,970.9042,928,1013,23.84,35.34,325.44,28.74,206.41
9,1002,951.8756,908,995,23.78,34.66,212.34,28.28,197.98
10,862,906.1092,862,952.025,20.62,33.02,261.82,26.21,173.76
11,644,790.7004,746,836,17.42,30.85,90.51,24.13,142.68
12,441,589.415,551,630,12.65,28.42,31.21,20.62,110.04
