Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,6,363.8978,330,398,-16.38,8.2,2.05,-4.32,181.2
2,11,534.323,495,574,-12.2,13.92,8.53,-0.86,187.8
3,79,601.374,562,642,-6.32,23.82,6.04,7.33,237.83
4,352,592.9322,554,631,0.53,31.22,26.18,14.24,256.64
5,843,575.0178,538,613,7.52,35.13,30.89,20.52,286.17
6,1264,568.9134,532,607,13.45,36.58,63.47,24.6,238.2
7,1481,569.2214,533,607,17.57,36.98,145.54,26.33,188
8,1264,574.8342,537,613,15.47,34.83,153.11,25.15,202.84
9,797,593.147,554,633,8.21,31.98,51,20.48,218.29
10,297,601.5604,562,642,-0.67,26.7,27.11,12.43,198.05
11,63,534.0644,495.975,573,-9.24,18.65,18.15,3.78,157.83
12,16,363.7144,330,397,-13.76,8.53,2.22,-2.76,181.2
