Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,0,220.008,193,248,-30.47,-5.05,4.14,-18.4,179.82
2,3,323.4926,293,354,-28.91,1.85,6.39,-13.67,192.14
3,25,359.696,329,391,-20.84,15.2,9.74,-2.95,239.29
4,171,358.2636,328,389,-8.14,24.82,21.27,6.55,237.15
5,479,345.8936,317,376,0.55,31.25,67.03,14.08,226.1
6,780,339.6782,311,369,7.74,32.4,118.5,18.83,229.46
7,912,339.3682,310,369,12.04,33.26,117.66,22.85,249.64
8,798,345.3852,316,376,9.68,31.19,158.91,20.35,197.93
9,500,357.9468,328,388,0.59,26.98,82.28,14.51,215.05
10,173,359.7266,328,390,-8.07,22.22,30.25,4.94,203.65
11,41,323.68,294,355,-22.64,9.45,18.12,-7.68,164.98
12,11,219.8612,194,247,-28.94,-1.33,7.47,-16.6,164.96
