Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,30,512.3038,474,552,-7.6,16.05,28.84,1.94,87.05
2,56,741.0432,696,786,-5.54,19.37,20.64,4.97,121.86
3,269,837.632,792,883.025,-0.42,26.67,28.62,11.51,157.69
4,879,848.03,803,893,4.12,32.06,55.55,16.89,180.38
5,1497,836.5754,792,882,11.17,34.88,77.44,22.24,191.4
6,1665,830.8912,787,873,16.58,37.55,137.06,26.22,163.31
7,1657,830.4818,787,873,19.83,37.95,176.34,27.74,164.04
8,1422,836.8754,794,881,18,36.51,123.19,27.1,169.02
9,971,848.4202,804,893,13.58,34.09,60.79,22.78,141.81
10,516,837.758,792,886,6.07,29.31,78.39,16.08,120.03
11,185,740.897,695,787,-2.3,23.68,37.65,9.57,103.54
12,66,512.092,472,553,-5.74,16.85,13.16,3.87,119.86
