Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,74,634.8508,590,681,-3.92,15.99,42.78,4.68,62.59
2,123,922.866,872,976,-2.27,19.86,39.17,6.83,90.42
3,436,1011.9902,962,1064,1.97,26.52,77.03,12.14,117.33
4,1343,1004.486,954,1055,6.35,31.63,110.91,17.32,144.72
5,1986,991.5558,942.975,1040,12.32,33.45,145.51,21.42,140.43
6,1969,985.5358,937,1035,16.87,35.7,206.96,24.93,124.07
7,1789,985.8532,937,1035,20.47,37.22,238.79,27.46,194.13
8,1499,991.2028,941,1040.025,19.8,37.5,102.25,28.04,208.21
9,1004,1003.5072,951,1052,15.5,34.56,99.27,23.23,118
10,539,1010.947,959,1063,8.9,29.56,106.56,17.29,104.2
11,233,922.592,871.975,973,1.68,24.05,60.1,11.65,80.88
12,105,634.6132,591,679,-2.57,17.27,21.96,6.33,79.15
