Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,158,735.1034,688,783,-2.22,18.58,65.16,6.1,52
2,219,1050.303,997,1104,-1.13,24.43,75.67,8.31,78.04
3,628,1174.8532,1121,1228,3.34,28.57,148.03,12.84,79.38
4,1571,1200.7568,1149,1254,7.61,31.61,142.76,18.11,107.38
5,2146,1201.3908,1150,1254,13.46,33.46,198.6,22.19,118.43
6,2111,1208.2278,1159.975,1258,17.99,35.11,223.19,25.65,122.01
7,1880,1208.1012,1156,1260,21.23,37.62,188.45,28.2,185.62
8,1616,1200.8742,1149,1253,20.79,37.52,120.58,28.41,209.52
9,1241,1200.7536,1146,1253,16.68,35.7,97.74,24.32,127.41
10,840,1174.8618,1121,1228,9.76,31.47,79.99,18.34,104.23
11,480,1050.5752,996,1103,2.99,26.85,87.96,12.92,81.15
12,251,735.199,688,783,-0.94,18.67,56.2,7.67,76.93
