Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,19,289.1052,261,320,-7.73,14.23,39.46,2.56,116.1
2,45,415.2078,383,449,-5.63,18.53,27.76,4.67,134.31
3,207,473.3366,440,508,-1.48,24.92,44.33,10.27,183.54
4,572,485.3546,451,519,3.83,30.03,56.67,15.78,212.42
5,816,485.2632,453,519,10.93,33.61,78.23,21.03,201.9
6,854,483.2636,452,515,16.45,35.59,182.97,24.85,175.8
7,843,482.7398,450,515,20.76,36.85,230.78,27.64,177.02
8,771,484.4348,452,516,19.71,36.08,173.1,27.93,205.51
9,586,485.4674,452,518,14.52,32.35,82.96,23.35,174.14
10,346,473.5864,439,508,5.45,28.01,75.63,16.89,154.06
11,148,415.2472,382,448,-1.9,23.7,57.74,10.85,135.56
12,55,288.9934,260,318,-6.1,15.91,33.94,4.44,143.58
