Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,131,654.79,611,699,-1.33,22.35,80.64,7.98,83.06
2,179,934.461,884,986,0.26,25.63,100.09,9.74,92.29
3,506,1045.7304,993.975,1098,4.52,28.49,216.48,13.98,84.8
4,1318,1066.2378,1017,1115,8.65,32.01,185.75,19.48,128.36
5,1852,1066.2084,1018,1117,15.59,34.65,246.13,24.18,129.77
6,1828,1069.8784,1021.975,1119,19.69,36.09,334.17,26.98,133.05
7,1671,1070.6762,1023,1118,22.61,37.91,262.31,29.48,203.31
8,1516,1066.4946,1017,1115,22.48,37.81,121.01,29.74,232.43
9,1189,1065.2506,1015,1114,18.2,35.86,107.72,25.99,163.24
10,818,1045.274,995,1097,11.41,33.19,59.77,20.77,138.44
11,459,934.5944,883,987,5.64,28.2,114.68,15.12,104.33
12,207,654.4042,609,699,-0.28,21.37,63.92,9.28,99.38
