Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,3,258.92,230,289,-20,5.83,5.66,-7.87,192.19
2,8,381.968,349,415,-17.94,9.75,13.66,-4.17,191.18
3,39,409.5928,377,443,-10.11,19.43,8.41,3.88,238.49
4,246,403.2734,372,436,-2.14,27.08,26.15,11.47,257.35
5,637,391.1778,359,423.025,4.87,31.2,78.55,17.98,274.1
6,870,389.4718,358,422,11.93,32.7,70.1,22.05,243.03
7,1032,389.1982,357.975,421,16.54,35.03,111.29,25.29,219.03
8,898,391.3084,358,424,14.2,33.98,205.58,24.38,210.84
9,528,403.8078,371,437,6.28,29.65,51.46,19.15,223.42
10,171,410.224,378,444,-2.75,25.33,33.11,10.93,216.6
11,33,382.0708,350,415,-12.35,17.24,26.87,1.84,167.01
12,5,258.987,231,289,-18.43,7.41,8.88,-5.34,169.33
