alt,rich_IA,rich_IA2,rich_sim_IA,rich_sim_IA2,lower_IA,upper_IA,MinT,MaxT,rain,MeanT,light,prov
2,35,1.544068044,274.9794,2.43930016,246,303,-5.63,20.53,40.25,5.35,119.05,anhui
3,108,2.033423755,392.8298,2.594204426,361,424,-0.47,26.54,62.11,11.24,159.99,anhui
4,359,2.555094449,456.691,2.659622453,424,489,4.2,31.35,71.67,16.77,194.1,anhui
5,619,2.791690649,479.5772,2.680858528,448,511,10.99,33.9,118.07,21.64,182.24,anhui
6,757,2.87909588,478.8794,2.680226155,449,509,16.2,36.14,198.97,25.52,172.01,anhui
7,822,2.914871818,485.421,2.686118561,457,515,20.55,37.87,209.98,27.91,191.23,anhui
8,790,2.897627091,478.4762,2.67986034,449,509,19.06,37.17,154.02,27.89,206.85,anhui
9,608,2.783903579,479.1894,2.680507203,448,510,14,33.54,77.69,23.18,167.26,anhui
10,356,2.551449998,456.2068,2.659161754,424,489,5.25,29.26,89.53,16.74,134.9,anhui
11,146,2.164352856,392.186,2.593492086,360,424,-1.74,25.21,59.89,10.78,128.7,anhui
12,49,1.69019608,274.5638,2.438643277,247,303,-6.04,17.52,33.5,4.8,127.11,anhui
1,89,1.949390007,345.9702,2.539038693,315,377,4.46,25.28,63.83,13.09,119.11,fujian
2,115,2.06069784,471.5528,2.673530328,436.975,506,4.83,26.79,51.74,12.99,100.95,fujian
3,204,2.309630167,552.8498,2.742607157,517,589,7.61,28.56,138.79,15.54,107.42,fujian
4,467,2.669316881,600.0926,2.778218271,565.975,634,11.23,32.26,120.93,20.18,137.09,fujian
5,634,2.802089258,615.9764,2.789564073,582,650,16.13,34.17,152.28,23.97,128.15,fujian
6,819,2.913283902,621.312,2.793309742,589,652.025,20.73,36.28,207.92,27.1,157.28,fujian
7,918,2.962842681,621.3796,2.793356991,590,654,23.72,37.48,122.77,29.08,222.73,fujian
8,991,2.996073654,615.7652,2.789415141,582,650,23.03,37.18,220.17,28.74,194.23,fujian
9,902,2.955206538,599.573,2.777842067,564,634,21.08,35.63,163.53,26.98,169.72,fujian
10,711,2.851869601,552.615,2.742422669,516,589,16.21,33.37,45.29,23.57,153.63,fujian
11,397,2.598790507,471.1732,2.67318058,437,507,12.18,30.06,49.97,19.91,121.33,fujian
12,167,2.222716471,345.7402,2.538749879,315,377,6.34,25.64,53.03,15.23,110.86,fujian
3,86,1.934498451,660.5874,2.819930286,618,705,-7.71,21.64,12.91,5.24,208.09,gansu
4,377,2.57634135,970.9638,2.987203039,922,1021,-2.13,27.38,31.08,11.13,221.31,gansu
5,941,2.973589623,1096.6772,3.040078815,1047,1147,2.11,29.44,52.96,14.86,234.2,gansu
6,1650,3.217483944,1107.0998,3.044186772,1060,1155,7.98,30.55,66.68,19.02,202.19,gansu
7,2163,3.335056519,1090.7762,3.037735653,1045,1137,11.31,33.44,76.45,21.31,235.52,gansu
8,1907,3.280350693,1106.7706,3.044057614,1060,1153,10.24,32.49,91.42,20.28,208.99,gansu
9,1117,3.048053173,1096.8142,3.040133064,1047,1146,5.58,27.58,53.63,15.27,162.27,gansu
10,419,2.622214023,971.2246,2.987319674,920,1021,-2.54,23.33,32.93,8.66,165.01,gansu
11,102,2.008600172,661.0862,2.820258091,616.975,705,-9.24,17.53,7.62,2.56,168.53,gansu
1,154,2.187520721,449.7996,2.653019065,416,484.025,5.01,26.29,86.94,14.6,129.38,guangdong
2,190,2.278753601,609.9054,2.785262479,571,649,5.99,27.46,51.63,15.5,100.42,guangdong
3,336,2.526339277,711.7564,2.852331381,673,751,10.04,28.47,132.76,18.47,81.46,guangdong
4,616,2.789580712,757.2596,2.879244788,718,797,13.11,31.28,174.64,22.2,108.86,guangdong
5,844,2.926342447,777.4302,2.890661407,740,815,19.24,33.89,337.87,26.01,134.61,guangdong
