alt,rich_IA,rich_IA2,rich_sim_IA,rich_sim_IA2,lower_IA,upper_IA,MinT,MaxT,rain,MeanT,light,prov
3,108,2.033423755,332.7944,2.52217601,303,364.025,-0.47,26.54,62.11,11.24,159.99,anhui
4,359,2.555094449,481.8712,2.682930971,449,517,4.2,31.35,71.67,16.77,194.1,anhui
5,619,2.791690649,566.414,2.753133979,533,599,10.99,33.9,118.07,21.64,182.24,anhui
6,757,2.87909588,602.2858,2.779802624,572,634,16.2,36.14,198.97,25.52,172.01,anhui
7,822,2.914871818,598.523,2.777080844,569,628,20.55,37.87,209.98,27.91,191.23,anhui
8,790,2.897627091,602.1284,2.779689112,571,633,19.06,37.17,154.02,27.89,206.85,anhui
9,608,2.783903579,566.3664,2.753097481,534,600.025,14,33.54,77.69,23.18,167.26,anhui
10,356,2.551449998,481.8812,2.682939983,448.975,516,5.25,29.26,89.53,16.74,134.9,anhui
11,146,2.164352856,332.7356,2.522099269,303,363,-1.74,25.21,59.89,10.78,128.7,anhui
1,89,1.949390007,345.9702,2.539038693,315,377,4.46,25.28,63.83,13.09,119.11,fujian
2,115,2.06069784,471.5528,2.673530328,436.975,506,4.83,26.79,51.74,12.99,100.95,fujian
3,204,2.309630167,552.8498,2.742607157,517,589,7.61,28.56,138.79,15.54,107.42,fujian
4,467,2.669316881,600.0926,2.778218271,565.975,634,11.23,32.26,120.93,20.18,137.09,fujian
5,634,2.802089258,615.9764,2.789564073,582,650,16.13,34.17,152.28,23.97,128.15,fujian
6,819,2.913283902,621.312,2.793309742,589,652.025,20.73,36.28,207.92,27.1,157.28,fujian
7,918,2.962842681,621.3796,2.793356991,590,654,23.72,37.48,122.77,29.08,222.73,fujian
8,991,2.996073654,615.7652,2.789415141,582,650,23.03,37.18,220.17,28.74,194.23,fujian
9,902,2.955206538,599.573,2.777842067,564,634,21.08,35.63,163.53,26.98,169.72,fujian
10,711,2.851869601,552.615,2.742422669,516,589,16.21,33.37,45.29,23.57,153.63,fujian
11,397,2.598790507,471.1732,2.67318058,437,507,12.18,30.06,49.97,19.91,121.33,fujian
12,167,2.222716471,345.7402,2.538749879,315,377,6.34,25.64,53.03,15.23,110.86,fujian
4,377,2.57634135,842.7274,2.925687115,796,891,-2.13,27.38,31.08,11.13,221.31,gansu
5,941,2.973589623,1262.0992,3.101093491,1212,1313,2.11,29.44,52.96,14.86,234.2,gansu
6,1650,3.217483944,1444.9894,3.159864661,1398,1493,7.98,30.55,66.68,19.02,202.19,gansu
7,2163,3.335056519,1474.3984,3.168614851,1432,1517.025,11.31,33.44,76.45,21.31,235.52,gansu
8,1907,3.280350693,1445.0954,3.159896519,1397,1492.025,10.24,32.49,91.42,20.28,208.99,gansu
9,1117,3.048053173,1262.3956,3.101195472,1212,1312,5.58,27.58,53.63,15.27,162.27,gansu
10,419,2.622214023,842.2946,2.925464016,796,890,-2.54,23.33,32.93,8.66,165.01,gansu
1,154,2.187520721,449.7996,2.653019065,416,484.025,5.01,26.29,86.94,14.6,129.38,guangdong
2,190,2.278753601,609.9054,2.785262479,571,649,5.99,27.46,51.63,15.5,100.42,guangdong
3,336,2.526339277,711.7564,2.852331381,673,751,10.04,28.47,132.76,18.47,81.46,guangdong
4,616,2.789580712,757.2596,2.879244788,718,797,13.11,31.28,174.64,22.2,108.86,guangdong
5,844,2.926342447,777.4302,2.890661407,740,815,19.24,33.89,337.87,26.01,134.61,guangdong
6,1022,3.009450896,783.0576,2.893793709,748,818,22.95,35.24,332.02,28.38,171.81,guangdong
7,1125,3.051152522,782.6658,2.893576357,747,820,24.02,37.01,236.2,29.01,201.13,guangdong
8,1212,3.08350262,776.8262,2.890323865,739,814,23.49,36.62,306.82,28.58,182.64,guangdong
9,1079,3.033021445,756.7796,2.878969417,719,798,21.63,35.73,158.09,27.63,182.28,guangdong
10,839,2.923761961,711.5834,2.852225808,671,752,16.64,33.3,82.97,24.44,177.2,guangdong
11,503,2.701567985,609.8758,2.785241401,571.975,648,11.79,30.48,49.65,20.7,149.25,guangdong
12,257,2.409933123,450.0604,2.653270802,416,485,6.18,26.93,36.36,15.95,134.29,guangdong
1,177,2.247973266,526.2972,2.721231059,488,565,5.01,26.29,86.94,14.6,130.31,guangxi
2,208,2.318063335,726.2414,2.861081003,683,771,5.99,27.46,51.63,15.5,100.42,guangxi
3,341,2.532754379,839.7734,2.924162114,796,886,10.04,28.47,132.76,18.47,81.46,guangxi
4,751,2.875639937,873.0164,2.941022402,830,916,13.11,31.28,174.64,22.2,108.86,guangxi
5,1080,3.033423755,886.999,2.94792313,846,930,19.24,33.89,337.87,26.01,134.61,guangxi
6,1270,3.103803721,890.2992,2.949535983,849,932,22.95,35.24,332.02,28.38,171.81,guangxi
7,1351,3.130655349,890.3886,2.949579591,848,932,24.02,37.01,236.2,29.01,201.13,guangxi
