alt,rich_IA,rich_IA2,rich_sim_IA,rich_sim_IA2,lower_IA,upper_IA,MinT,MaxT,rain,MeanT,light,prov
3,162,2.209515015,181.1614,2.258065668,158,204,-0.47,26.54,62.11,11.24,159.99,anhui
4,440,2.643452676,269.9608,2.431300706,245,296,4.2,31.35,71.67,16.77,194.1,anhui
5,573,2.758154622,284.3852,2.453906991,259,311,10.99,33.9,118.07,21.64,182.24,anhui
6,436,2.639486489,275.9056,2.440760515,251,302,16.2,36.14,198.97,25.52,172.01,anhui
7,296,2.471291711,275.2196,2.439679359,250,301,20.55,37.87,209.98,27.91,191.23,anhui
8,173,2.238046103,275.2102,2.439664526,250,300,19.06,37.17,154.02,27.89,206.85,anhui
9,98,1.991226076,284.3738,2.453889581,258,311,14,33.54,77.69,23.18,167.26,anhui
10,75,1.875061263,270.4358,2.432064183,245,297,5.25,29.26,89.53,16.74,134.9,anhui
11,45,1.653212514,181.3476,2.258511812,158,205,-1.74,25.21,59.89,10.78,128.7,anhui
1,85,1.929418926,272.5276,2.435410492,245,300,4.46,25.28,63.83,13.09,119.11,fujian
2,125,2.096910013,385.4786,2.586000273,354.975,417,4.83,26.79,51.74,12.99,100.95,fujian
3,336,2.526339277,424.0446,2.627411537,392,457,7.61,28.56,138.79,15.54,107.42,fujian
4,683,2.834420704,434.1562,2.637646007,404,465,11.23,32.26,120.93,20.18,137.09,fujian
5,873,2.941014244,438.3866,2.641857271,408,469,16.13,34.17,152.28,23.97,128.15,fujian
6,750,2.875061263,443.2874,2.646685387,414,473,20.73,36.28,207.92,27.1,157.28,fujian
7,568,2.754348336,443.2998,2.646697535,414,473,23.72,37.48,122.77,29.08,222.73,fujian
8,432,2.635483747,438.26,2.641731834,408,469,23.03,37.18,220.17,28.74,194.23,fujian
9,317,2.501059262,433.7442,2.63723368,403,465,21.08,35.63,163.53,26.98,169.72,fujian
10,280,2.447158031,423.4068,2.626757829,391,456,16.21,33.37,45.29,23.57,153.63,fujian
11,212,2.326335861,385.1404,2.585619077,352,417,12.18,30.06,49.97,19.91,121.33,fujian
12,133,2.123851641,272.2678,2.434996282,244,301,6.34,25.64,53.03,15.23,110.86,fujian
3,132,2.120573931,262.0726,2.418421617,234,291,-7.71,21.64,12.91,5.24,208.09,gansu
4,469,2.671172843,387.6974,2.588492889,357,420.025,-2.13,27.38,31.08,11.13,221.31,gansu
5,831,2.919601024,396.4262,2.598162349,365,428,2.11,29.44,52.96,14.86,234.2,gansu
6,737,2.867467488,390.5276,2.591651732,361,421,7.98,30.55,66.68,19.02,202.19,gansu
7,481,2.682145076,386.0762,2.58667303,355,416,11.31,33.44,76.45,21.31,235.52,gansu
8,285,2.45484486,390.9984,2.59217498,361,422,10.24,32.49,91.42,20.28,208.99,gansu
9,179,2.252853031,396.303,2.59802736,365,428,5.58,27.58,53.63,15.27,162.27,gansu
10,106,2.025305865,387.1574,2.587887565,355,419.025,-2.54,23.33,32.93,8.66,165.01,gansu
11,39,1.591064607,261.7412,2.417872089,234,290,-9.24,17.53,7.62,2.56,168.53,gansu
1,208,2.318063335,480.5438,2.681732978,444.975,518,5.01,26.29,86.94,14.6,129.38,guangdong
2,274,2.437750563,671.7896,2.827233276,630,713,5.99,27.46,51.63,15.5,100.42,guangdong
3,629,2.798650645,744.363,2.871784778,702,787,10.04,28.47,132.76,18.47,81.46,guangdong
4,1205,3.080987047,749.2272,2.874613536,710,791,13.11,31.28,174.64,22.2,108.86,guangdong
5,1448,3.160768562,759.3374,2.880434791,719,799.025,19.24,33.89,337.87,26.01,134.61,guangdong
6,1245,3.095169351,763.4282,2.882768198,725,803,22.95,35.24,332.02,28.38,171.81,guangdong
7,943,2.974511693,763.4524,2.882781965,725,802,24.02,37.01,236.2,29.01,201.13,guangdong
8,742,2.870403905,759.6724,2.880626348,720,800,23.49,36.62,306.82,28.58,182.64,guangdong
9,556,2.745074792,750.256,2.875209477,710,790,21.63,35.73,158.09,27.63,182.28,guangdong
10,456,2.658964843,744.748,2.872009346,703,787,16.64,33.3,82.97,24.44,177.2,guangdong
11,356,2.551449998,671.8636,2.827281113,630,714,11.79,30.48,49.65,20.7,149.25,guangdong
12,277,2.442479769,480.3184,2.681529224,444,519,6.18,26.93,36.36,15.95,134.29,guangdong
1,283,2.451786436,628.0052,2.79796324,585,670,5.01,26.29,86.94,14.6,130.31,guangxi
2,362,2.558708571,884.413,2.946655118,836,934,5.99,27.46,51.63,15.5,100.42,guangxi
3,770,2.886490725,960.4056,2.982454684,913,1010,10.04,28.47,132.76,18.47,81.46,guangxi
4,1589,3.201123897,973.434,2.988306511,926,1022,13.11,31.28,174.64,22.2,108.86,guangxi
5,1956,3.29136885,981.932,2.992081413,936,1029,19.24,33.89,337.87,26.01,134.61,guangxi
6,1613,3.207634367,989.0468,2.995216842,943,1036,22.95,35.24,332.02,28.38,171.81,guangxi
7,1222,3.087071206,988.4516,2.994955409,942.975,1034,24.02,37.01,236.2,29.01,201.13,guangxi
8,930,2.968482949,980.8854,2.99161827,935,1028,23.49,36.62,306.82,28.58,182.64,guangxi
9,695,2.841984805,973.0982,2.988156669,925,1020,21.63,35.73,158.09,27.63,182.28,guangxi
10,601,2.778874472,960.7502,2.982610484,912,1008.025,16.64,33.3,82.97,24.44,177.2,guangxi
11,458,2.660865478,884.2654,2.946582632,835,932,11.79,30.48,49.65,20.7,149.25,guangxi
12,353,2.547774705,627.3126,2.797484011,585,670,6.18,26.93,36.36,15.95,134.29,guangxi
1,163,2.212187604,488.0544,2.688468232,450,527,-2.35,20.16,33.55,5.7,54.44,guizhou
2,227,2.356025857,700.4762,2.845393384,656,744,-0.94,24.97,14.83,7.45,76.67,guizhou
3,572,2.757396029,760.8778,2.881314913,717,805,3.21,27.76,45.47,11.97,96.31,guizhou
4,1326,3.122543524,760.513,2.881106642,718,804,6.93,30.7,78.52,16.3,130.11,guizhou
5,1712,3.23350376,760.8382,2.881292309,719,804,11.6,30.79,147.73,19.22,127.05,guizhou
6,1416,3.151063253,757.533,2.879401557,715.975,798.025,14.36,30.86,245.77,21.46,97.31,guizhou
7,960,2.982271233,757.5848,2.879431253,717,798,16.68,31.67,171.79,22.82,150.78,guizhou
