alt,rich_IA,rich_IA2,rich_sim_IA,rich_sim_IA2,lower_IA,upper_IA,MinT,MaxT,rain,MeanT,light,prov
3,162,2.209515015,201.113,2.303440144,177,226,-0.47,26.54,62.11,11.24,159.99,anhui
4,440,2.643452676,300.4128,2.477718433,274,327,4.2,31.35,71.67,16.77,194.1,anhui
5,573,2.758154622,316.8328,2.500830135,290,344,10.99,33.9,118.07,21.64,182.24,anhui
6,436,2.639486489,308.2366,2.488884206,283,334,16.2,36.14,198.97,25.52,172.01,anhui
7,296,2.471291711,308.221,2.488862225,283,334,20.55,37.87,209.98,27.91,191.23,anhui
8,173,2.238046103,317.1656,2.501286077,290,343.025,19.06,37.17,154.02,27.89,206.85,anhui
9,98,1.991226076,300.1506,2.477339216,273,327,14,33.54,77.69,23.18,167.26,anhui
10,75,1.875061263,200.8676,2.302909891,178,225,5.25,29.26,89.53,16.74,134.9,anhui
1,85,1.929418926,272.5276,2.435410492,245,300,4.46,25.28,63.83,13.09,119.11,fujian
2,125,2.096910013,385.4786,2.586000273,354.975,417,4.83,26.79,51.74,12.99,100.95,fujian
3,336,2.526339277,424.0446,2.627411537,392,457,7.61,28.56,138.79,15.54,107.42,fujian
4,683,2.834420704,434.1562,2.637646007,404,465,11.23,32.26,120.93,20.18,137.09,fujian
5,873,2.941014244,438.3866,2.641857271,408,469,16.13,34.17,152.28,23.97,128.15,fujian
6,750,2.875061263,443.2874,2.646685387,414,473,20.73,36.28,207.92,27.1,157.28,fujian
7,568,2.754348336,443.2998,2.646697535,414,473,23.72,37.48,122.77,29.08,222.73,fujian
8,432,2.635483747,438.26,2.641731834,408,469,23.03,37.18,220.17,28.74,194.23,fujian
9,317,2.501059262,433.7442,2.63723368,403,465,21.08,35.63,163.53,26.98,169.72,fujian
10,280,2.447158031,423.4068,2.626757829,391,456,16.21,33.37,45.29,23.57,153.63,fujian
11,212,2.326335861,385.1404,2.585619077,352,417,12.18,30.06,49.97,19.91,121.33,fujian
12,133,2.123851641,272.2678,2.434996282,244,301,6.34,25.64,53.03,15.23,110.86,fujian
3,132,2.120573931,292.0856,2.465510147,263,321,-7.71,21.64,12.91,5.24,208.09,gansu
4,469,2.671172843,432.615,2.636101574,399,466,-2.13,27.38,31.08,11.13,221.31,gansu
5,831,2.919601024,447.0866,2.650391653,415,479,2.11,29.44,52.96,14.86,234.2,gansu
6,737,2.867467488,438.379,2.641849742,408,470,7.98,30.55,66.68,19.02,202.19,gansu
7,481,2.682145076,438.6292,2.64209754,409,468.025,11.31,33.44,76.45,21.31,235.52,gansu
8,285,2.45484486,447.2586,2.6505587,416,479,10.24,32.49,91.42,20.28,208.99,gansu
9,179,2.252853031,432.4388,2.635924654,400,466,5.58,27.58,53.63,15.27,162.27,gansu
10,106,2.025305865,291.5072,2.464649286,263,321,-2.54,23.33,32.93,8.66,165.01,gansu
1,208,2.318063335,480.5438,2.681732978,444.975,518,5.01,26.29,86.94,14.6,129.38,guangdong
2,274,2.437750563,671.7896,2.827233276,630,713,5.99,27.46,51.63,15.5,100.42,guangdong
3,629,2.798650645,744.363,2.871784778,702,787,10.04,28.47,132.76,18.47,81.46,guangdong
4,1205,3.080987047,749.2272,2.874613536,710,791,13.11,31.28,174.64,22.2,108.86,guangdong
5,1448,3.160768562,759.3374,2.880434791,719,799.025,19.24,33.89,337.87,26.01,134.61,guangdong
6,1245,3.095169351,763.4282,2.882768198,725,803,22.95,35.24,332.02,28.38,171.81,guangdong
7,943,2.974511693,763.4524,2.882781965,725,802,24.02,37.01,236.2,29.01,201.13,guangdong
8,742,2.870403905,759.6724,2.880626348,720,800,23.49,36.62,306.82,28.58,182.64,guangdong
9,556,2.745074792,750.256,2.875209477,710,790,21.63,35.73,158.09,27.63,182.28,guangdong
10,456,2.658964843,744.748,2.872009346,703,787,16.64,33.3,82.97,24.44,177.2,guangdong
11,356,2.551449998,671.8636,2.827281113,630,714,11.79,30.48,49.65,20.7,149.25,guangdong
12,277,2.442479769,480.3184,2.681529224,444,519,6.18,26.93,36.36,15.95,134.29,guangdong
1,283,2.451786436,628.0052,2.79796324,585,670,5.01,26.29,86.94,14.6,130.31,guangxi
2,362,2.558708571,884.413,2.946655118,836,934,5.99,27.46,51.63,15.5,100.42,guangxi
3,770,2.886490725,960.4056,2.982454684,913,1010,10.04,28.47,132.76,18.47,81.46,guangxi
4,1589,3.201123897,973.434,2.988306511,926,1022,13.11,31.28,174.64,22.2,108.86,guangxi
5,1956,3.29136885,981.932,2.992081413,936,1029,19.24,33.89,337.87,26.01,134.61,guangxi
6,1613,3.207634367,989.0468,2.995216842,943,1036,22.95,35.24,332.02,28.38,171.81,guangxi
7,1222,3.087071206,988.4516,2.994955409,942.975,1034,24.02,37.01,236.2,29.01,201.13,guangxi
8,930,2.968482949,980.8854,2.99161827,935,1028,23.49,36.62,306.82,28.58,182.64,guangxi
9,695,2.841984805,973.0982,2.988156669,925,1020,21.63,35.73,158.09,27.63,182.28,guangxi
10,601,2.778874472,960.7502,2.982610484,912,1008.025,16.64,33.3,82.97,24.44,177.2,guangxi
11,458,2.660865478,884.2654,2.946582632,835,932,11.79,30.48,49.65,20.7,149.25,guangxi
12,353,2.547774705,627.3126,2.797484011,585,670,6.18,26.93,36.36,15.95,134.29,guangxi
1,163,2.212187604,488.0544,2.688468232,450,527,-2.35,20.16,33.55,5.7,54.44,guizhou
2,227,2.356025857,700.4762,2.845393384,656,744,-0.94,24.97,14.83,7.45,76.67,guizhou
3,572,2.757396029,760.8778,2.881314913,717,805,3.21,27.76,45.47,11.97,96.31,guizhou
4,1326,3.122543524,760.513,2.881106642,718,804,6.93,30.7,78.52,16.3,130.11,guizhou
5,1712,3.23350376,760.8382,2.881292309,719,804,11.6,30.79,147.73,19.22,127.05,guizhou
6,1416,3.151063253,757.533,2.879401557,715.975,798.025,14.36,30.86,245.77,21.46,97.31,guizhou
7,960,2.982271233,757.5848,2.879431253,717,798,16.68,31.67,171.79,22.82,150.78,guizhou
8,680,2.832508913,761.078,2.881429168,720,804,15.81,31.74,151.85,22.44,162.04,guizhou
9,497,2.696356389,760.3178,2.880995158,718,805,13.38,30.02,145.12,19.69,87.71,guizhou
10,399,2.600972896,760.4508,2.881071121,717,805,6.85,27.08,87.08,15.49,82.75,guizhou
11,295,2.469822016,700.1038,2.845162435,655.975,745,3.17,24.49,22.85,11.62,98.16,guizhou
12,209,2.320146286,488.1722,2.688573044,450,526.025,-1.02,20.56,21.47,6.26,58.34,guizhou
1,200,2.301029996,335.776,2.526049651,306,366,10.47,27.51,42.21,19.33,133.21,hainan
2,254,2.404833717,451.4616,2.654620816,418,485,12.24,30.4,17.94,20.17,130.11,hainan
3,463,2.665580991,509.3882,2.70704888,476,543,16.9,32.51,33.31,23.64,171.09,hainan
4,770,2.886490725,530.3996,2.724603188,498,564,18.73,34.93,84.88,26.05,199.37,hainan
5,851,2.92992956,539.2832,2.731816891,508,571,23.45,35.9,165.83,28.86,247.91,hainan
6,743,2.870988814,548.3234,2.73903678,518,579,24.61,36.32,175.1,29.87,248.96,hainan
7,634,2.802089258,548.588,2.739246303,517.975,579,24.21,36.06,224.57,29.18,227.89,hainan
8,544,2.7355989,539.3,2.73183042,507.975,572,23.84,35.34,325.44,28.74,206.41,hainan
9,434,2.63748973,530.1934,2.724434317,499,564,23.78,34.66,212.34,28.28,197.98,hainan
10,384,2.584331224,508.9664,2.706689113,475,543,20.62,33.02,261.82,26.21,173.76,hainan
