alt,rich_IA,rich_IA2,rich_sim_IA,rich_sim_IA2,lower_IA,upper_IA,MinT,MaxT,rain,MeanT,light,prov
3,277,2.442479769,518.211,2.714506627,479.975,559,-0.47,26.54,62.11,11.24,159.99,anhui
4,807,2.906873535,758.067,2.879707591,713,801,4.2,31.35,71.67,16.77,194.1,anhui
5,1202,3.079904468,857.969,2.933471596,816,900,10.99,33.9,118.07,21.64,182.24,anhui
6,1204,3.080626487,886.37,2.947615049,847,925,16.2,36.14,198.97,25.52,172.01,anhui
7,1126,3.051538391,886.294,2.947577809,845.975,923,20.55,37.87,209.98,27.91,191.23,anhui
8,967,2.985426474,886.997,2.947922151,849.975,927.025,19.06,37.17,154.02,27.89,206.85,anhui
9,713,2.85308953,857.899,2.933436162,817,901,14,33.54,77.69,23.18,167.26,anhui
10,435,2.638489257,758.222,2.879796381,717,801,5.25,29.26,89.53,16.74,134.9,anhui
11,195,2.290034611,518.971,2.71514309,482,559,-1.74,25.21,59.89,10.78,128.7,anhui
1,180,2.255272505,640.3965,2.80644895,597,683,4.46,25.28,63.83,13.09,119.11,fujian
2,248,2.394451681,886.1855,2.94752464,837.975,936,4.83,26.79,51.74,12.99,100.95,fujian
3,559,2.747411808,1010.8605,3.004691227,962,1059,7.61,28.56,138.79,15.54,107.42,fujian
4,1188,3.074816441,1073.0795,3.030631898,1023,1119,11.23,32.26,120.93,20.18,137.09,fujian
5,1561,3.193402903,1093.864,3.03896333,1049,1139,16.13,34.17,152.28,23.97,128.15,fujian
6,1628,3.211654401,1105.773,3.043665981,1061,1152,20.73,36.28,207.92,27.1,157.28,fujian
7,1543,3.188365926,1105.823,3.043685619,1061.975,1150,23.72,37.48,122.77,29.08,222.73,fujian
8,1479,3.169968174,1093.9155,3.038983776,1051,1139,23.03,37.18,220.17,28.74,194.23,fujian
9,1266,3.102433706,1073.3655,3.030747632,1028,1121,21.08,35.63,163.53,26.98,169.72,fujian
10,1027,3.011570444,1009.948,3.004299013,962.975,1059,16.21,33.37,45.29,23.57,153.63,fujian
11,629,2.798650645,885.416,2.947147366,838,932,12.18,30.06,49.97,19.91,121.33,fujian
12,310,2.491361694,639.373,2.805754293,598,682,6.34,25.64,53.03,15.23,110.86,fujian
4,865,2.937016107,1200.373,3.079316218,1144,1256,-2.13,27.38,31.08,11.13,221.31,gansu
5,1822,3.260548373,1791.0355,3.253104194,1730,1852,2.11,29.44,52.96,14.86,234.2,gansu
6,2451,3.389343311,1997.4025,3.300465589,1939,2054,7.98,30.55,66.68,19.02,202.19,gansu
7,2716,3.433929766,2026.6915,3.306787646,1973,2079.025,11.31,33.44,76.45,21.31,235.52,gansu
