Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,1,354.7692,321,390,-29.26,0.02,2.13,-15.82,202.82
2,3,531.2502,491.975,571,-26.76,6.51,4.31,-11.61,210.1
3,29,578.1396,538,619,-19.03,17.99,5.19,-1.5,259.4
4,190,553.6572,515,591,-9.27,27.14,13.61,7.39,266.04
5,636,530.8246,493,569,-1.5,33.25,29.98,14.69,287.98
6,1253,525.5246,488,562,5.98,33.5,54,19.57,267.32
7,1662,525.421,488,563,10.78,34.81,88.06,22.58,259.82
8,1394,530.3758,493,569,7.59,33.49,84.43,20.16,246.49
9,752,553.487,515,593,-0.77,27.78,44.7,14,230.01
10,200,578.2094,538,619,-10.16,23.15,15.1,4.6,230.67
11,25,531.0752,492,572,-22.27,13.71,8.39,-6.06,185.71
12,3,355.2662,322,389,-27.88,1.71,3.11,-14.02,188.85
