Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,0,219.9178,194,246,-19.86,8.76,2.24,-6.3,167.92
2,5,321.1736,291,352,-17.3,14.73,4.44,-2.41,195.98
3,35,351.6306,322,383,-9,22.62,6.78,5.76,236.96
4,173,348.5464,319,379,-2.43,29.82,13.91,13.11,265.71
5,522,336.1132,307,366,2.23,32.19,21.74,17.68,284.17
6,857,330.5834,301,360,9.73,34,35.67,22.28,271.7
7,946,330.3822,301.975,360,13.73,36.66,49.58,24.49,279.67
8,724,336.0354,307,366,11.33,34.85,76.02,22.28,236.32
9,400,348.6132,318,379,4.82,28.9,35.98,16.85,219.44
10,140,352.1818,322,383,-3.34,24.59,21.67,9.24,215.88
11,14,321.6868,292,353,-11.01,18.05,8.17,2.43,185.9
12,1,220.1356,195,246,-17.97,9.61,2.16,-4.98,188.43
