Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,3,423.8426,387,462,-24.77,5.69,3.25,-10.43,205.36
2,6,631.019,587,675,-20.84,9.15,3.26,-6.76,193.94
3,25,699.351,656,744,-15.76,14.38,8.35,-1.8,219.32
4,160,661.8288,620,705,-9.91,18.6,20.94,3.45,233.15
5,557,632.3158,590,674.025,-4.62,21.4,48.14,7.4,234.38
6,1467,623.5714,581,665,-0.63,24.1,70.53,11.21,200.22
7,2151,623.3646,581,664.025,2.76,25.86,70.17,13.63,233.66
8,1851,632.2176,590.975,675,2.4,25.92,75.61,13.49,222.47
9,942,661.4934,620,705.025,-1.79,21.62,55.42,9.11,187.41
10,151,698.6768,656,744.025,-9.98,18.44,18.12,2.67,225.14
11,25,630.7912,588,676,-16.59,12.33,5.63,-3.7,207.52
12,4,423.5278,387,462,-22.49,6.01,1.56,-9.44,214.03
