Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,38,623.9862,580,669,-11.03,11.24,5.54,-0.35,129.41
2,73,917.2308,866,968,-8.56,17.67,6.7,2.99,154.77
3,265,985.9216,933.975,1038,-2.28,24.54,21.68,9.78,193.13
4,956,978.0874,929,1029,3.66,31.18,52.38,15.75,217.21
5,1752,959.2828,909,1009,8.09,33.82,52.38,19.82,211.68
6,2037,946.8146,898,997,14.38,35.48,93.77,23.94,203.52
7,2099,946.7542,896,997,17.86,36.99,112.49,26.16,219.12
8,1781,959.115,909,1009,16.37,35.91,114.84,25.23,214.79
9,1102,977.9876,927,1028.025,11.08,31.21,92.63,19.78,147.59
10,489,985.6762,934,1038,3.27,25.18,63.94,13.11,127.34
11,170,917.5656,866,967,-3.83,19.28,24.71,7.04,120.63
12,61,624.578,580,668,-9.28,12.19,3.08,0.89,142.28
