Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,14,251.7456,225,280,-10.86,12.45,10.68,-0.01,137.78
2,33,361.2254,329,393,-7.89,16.71,14.07,2.84,165.97
3,123,417.2964,385,450,-2.97,23.95,10.05,9.39,228.65
4,365,430.7404,400,463,2.74,29.47,39.1,14.83,232.5
5,643,427.4524,397,458,9.37,33.69,44.78,20.7,254.53
6,817,423.7072,393,455,15.28,35.92,78.18,25.09,239.34
7,876,423.9772,393,455,19.09,36.17,149.7,26.97,210.17
8,781,427.3804,397,459,17.55,34.69,189.77,26.32,205.48
9,553,430.871,399,462.025,12.2,32.27,27.87,22.47,204.16
10,295,417.4706,385,449,3.36,27.59,28.66,15.44,169.89
11,96,361.3404,332,393,-4.12,21.53,33.16,8.35,137.38
12,29,251.793,225,279,-8.72,13.15,12.19,1.85,146.29
