Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,6,313.9492,283,347,-17.28,9.76,4.07,-4.39,148.11
2,14,456.9112,420.975,495,-14.25,15.89,6.69,-0.94,177.92
3,87,516.1048,478,553,-7.43,24.21,7.32,7.07,224.12
4,363,517.4162,481,554,-1.33,31.51,32.82,13.62,234.14
5,800,503.0102,468,538,4.83,34.8,30.82,19.37,252.08
6,1093,495.591,462,530,10.74,35.27,49.33,23.13,230.55
7,1198,495.1732,460,530,14.83,36,107.31,24.67,225.05
8,1039,502.2842,468,536,12.53,34.26,100.23,23.37,212.99
9,662,516.6682,481,552.025,6.09,30.68,53.68,18,184.04
10,257,515.8912,480,551,-2.43,25.88,45.07,10.77,168.98
11,64,456.822,421,493,-9.96,18.89,15.35,3.66,148.34
12,20,313.1786,282,345,-15.49,9.91,2.31,-3.17,163.31
