Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,195,1553.54,1485,1625,-7,16.92,8.83,3.47,158.95
2,286,2239.4382,2161.975,2319,-4.86,20.25,11.65,5.77,145.64
3,757,2482.9096,2403,2564,-0.95,24.17,25.67,9.89,177.45
4,2067,2473.892,2396,2551,2.98,27.72,61.79,13.48,192.32
5,3678,2436.1076,2360,2513,6.86,29.98,99.25,16.78,177.43
6,4703,2422.6398,2347,2500,9.87,31.18,181.68,19.37,153.66
7,5228,2422.5312,2347,2498,12.45,31.35,193.37,20.25,164.68
8,4655,2437.4208,2360,2514,12.02,32.12,158.92,20.55,186.98
9,3048,2474.6888,2393,2555.025,9.87,28.89,160.62,17.32,113.39
10,1588,2482.2432,2401.975,2563,4.03,25.33,77.43,13.2,133.23
11,705,2238.7252,2159,2317.025,-1.24,21.56,17.69,8.56,153.65
12,307,1552.8636,1484,1623,-5.5,16.67,8.28,4.16,155.58
