Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,1,436.8172,400,474,-21.48,3.05,3.53,-10.23,154.34
2,5,646.8118,604,691,-17.97,10.32,3.21,-4.83,175.96
3,27,712.8144,668,757,-8.41,22.71,3.46,6.17,221.89
4,264,689.9898,647,734,1.33,30.23,8.49,15.54,256.72
5,908,657.9784,616,701,5.56,33.42,12.97,19.79,288.86
6,1743,644.0164,602.975,686,11.27,36.67,17.07,24.77,284.06
7,2041,644.283,602,686,14.9,39.18,15.07,26.88,297.67
8,1606,657.7152,616,700,12.55,37.15,14.59,24.9,274.52
9,756,689.8172,648,733,5.5,32.59,16.07,18.87,254.43
10,198,712.7708,667,758,-3.38,25.11,5.29,9.95,227.76
11,25,646.5434,604,691,-12.45,16.66,7.28,0.26,171.19
12,2,436.4424,399,474,-17.91,5.28,5.11,-7.71,148.39
