Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,652,2156.6294,2078,2237,-0.76,20.78,41.67,9.05,223
2,820,3019.3654,2932,3111,1.12,23.13,12.73,10.84,215.77
3,1679,3365.6246,3273.975,3457,3.89,26.34,23.43,14,242.49
4,3244,3399.694,3311,3490,7.2,28.01,61.91,16.39,208.21
5,4833,3388.7124,3302,3477,10.21,29.81,75.21,19.18,211.53
6,5507,3391.3934,3305,3479,14.06,29.99,150.15,20.67,145.62
7,5827,3392.5042,3307,3482,15.1,29.15,274.49,20.08,108.89
8,5481,3388.3872,3300,3476,14.9,29.72,245.47,20.23,124.21
9,4145,3401.5928,3311,3492.025,13.56,28.16,145.9,19.4,127.56
10,2717,3366.929,3274,3456,8.49,26.55,96.87,16.65,164.46
11,1608,3020.557,2932,3111,3.65,23.82,31.79,12.93,212.88
12,935,2156.6106,2077,2237,0.1,20.96,14.95,9.85,211.19
