Month,rich_IA,rich_sim_IA,lower_IA,upper_IA,Min.Temp,Max.Temp,Mean monthly precipitaton,Mean Temperature,Irradiance
1,66,534.4594,495,576,-1.2,21.69,81.61,8.29,89.04
2,101,774.217,728,823,0.04,22.99,80.23,8.73,99.08
3,368,848.8816,803,896,3.41,25.7,129.57,12.48,113.84
4,1084,863.7466,816.975,910,7.62,29.96,122.88,17.31,139.81
5,1558,854.3126,810,899,13.55,32.7,138.45,21.88,135.03
6,1513,847.5726,804,891,17.94,35.71,242.46,24.97,98.95
7,1384,847.5294,802.975,890.025,22.47,37.54,167.82,28.43,183.9
8,1251,854.0246,808,900,22.57,37.35,215.23,29.02,207.93
9,1000,863.0274,817,910,18.5,34.72,202.6,25.33,137.81
10,677,848.401,801,895,12.24,31.3,89.89,20.8,129.34
11,323,774.1192,727,821,6.6,27.29,98,15.95,88.47
12,120,534.7086,495,575,0.5,21.39,75.33,10.34,89.74
